sample_id,disease_category,gene,expression,mutation_status,data_type
S001,NSCLC,EGFR,8.9,1,WES_RNA
S002,NSCLC,EGFR,7.4,0,WES_RNA
S003,NSCLC,KRAS,6.2,1,WES_RNA
S004,NSCLC,TP53,5.1,1,WES_RNA
S005,NSCLC,TP53,4.8,0,scRNA
S006,Breast Cancer,ERBB2,9.1,1,WES_RNA
S007,Breast Cancer,PIK3CA,6.7,1,WES_RNA
S008,Breast Cancer,TP53,5.9,1,scRNA
S009,CRC,KRAS,8.2,1,WES_RNA
S010,CRC,APC,7.6,1,WES_RNA
S011,CRC,TP53,5.7,1,scRNA
S012,RA,JAK1,7.1,0,RNA
S013,RA,TNF,9.2,0,scRNA
S014,SLE,IFNG,6.5,0,RNA
S015,SLE,STAT1,7.8,0,scRNA
